"elimfilters_sku","source_sku","reason"
"EA56168","C26168","Duplicate (2 instances collapsed to 1)"
"EA52620","C2620","Duplicate (2 instances collapsed to 1)"
"EA52652","C2652","Duplicate (2 instances collapsed to 1)"
"EA57002","C27002","Duplicate (2 instances collapsed to 1)"
"EA57003","C27003","Duplicate (3 instances collapsed to 1)"
"EA50031","C27003/1","Duplicate (3 instances collapsed to 1)"
"EA57031","C27031","Duplicate (2 instances collapsed to 1)"
"EA57107","C27107","Duplicate (2 instances collapsed to 1)"
"EA57114","C27114","Duplicate (2 instances collapsed to 1)"
"EA51170","C271170","Duplicate (3 instances collapsed to 1)"
"EA57119","C27119","Duplicate (2 instances collapsed to 1)"
"EA51390","C271390","Duplicate (2 instances collapsed to 1)"
"EA51541","C27154/1","Duplicate (3 instances collapsed to 1)"
"EA57181","C27181","Duplicate (2 instances collapsed to 1)"
"EA51921","C27192/1","Duplicate (2 instances collapsed to 1)"
"EA52720","C2720","Duplicate (2 instances collapsed to 1)"
"EA52733","C2733","Duplicate (2 instances collapsed to 1)"
"EA52742","C2742","Duplicate (2 instances collapsed to 1)"
"EA52743","C2743","Duplicate (2 instances collapsed to 1)"
"EA52747","C2747","Duplicate (3 instances collapsed to 1)"
"EA59985","C27998/5","Duplicate (3 instances collapsed to 1)"
"EA58005","C28005","Duplicate (2 instances collapsed to 1)"
"EA58010","C28010","Duplicate (3 instances collapsed to 1)"
"EA58011","C28011","Duplicate (3 instances collapsed to 1)"
"EA58013","C28013","Duplicate (2 instances collapsed to 1)"
"EA58043","C28043","Duplicate (2 instances collapsed to 1)"
"EA58100","C28100","Duplicate (2 instances collapsed to 1)"
"EA58103","C28103","Duplicate (2 instances collapsed to 1)"
"EA50452","C281045/2","Duplicate (2 instances collapsed to 1)"
"EA51238","C281238","Duplicate (2 instances collapsed to 1)"
"EA51251","C28125/1","Duplicate (2 instances collapsed to 1)"
"EA51300","C281300","Duplicate (2 instances collapsed to 1)"
"EA53002","C281300/2","Duplicate (2 instances collapsed to 1)"
"EA58145","C28145","Duplicate (2 instances collapsed to 1)"
"EA51601","C28160/1","Duplicate (4 instances collapsed to 1)"
"EA58162","C28162","Duplicate (2 instances collapsed to 1)"
"EA52141","C28214/1","Duplicate (2 instances collapsed to 1)"
"EA52841","C2841","Duplicate (3 instances collapsed to 1)"
"EA52872","C2872","Duplicate (2 instances collapsed to 1)"
"EA58950","C28950","Duplicate (2 instances collapsed to 1)"
"EA58960","C28960","Duplicate (2 instances collapsed to 1)"
"EA59002","C29002","Duplicate (5 instances collapsed to 1)"
"EA59021","C29021","Duplicate (2 instances collapsed to 1)"
"EA50321","C291032/1","Duplicate (2 instances collapsed to 1)"
"EA51055","C291055","Duplicate (2 instances collapsed to 1)"
"EA59108","C29108","Duplicate (2 instances collapsed to 1)"
"EA52191","C291219/1","Duplicate (2 instances collapsed to 1)"
"EA51261","C29126/1","Duplicate (2 instances collapsed to 1)"
